PARAMETER,PARAMETER_DESC,PARAMETER_COUNT,ANALYTIC_METHOD
Ca_pct_WDX_Fuse,"Calcium, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",1685,WDX_Fuse
Ca_pct_WDX_PP,"Calcium, in weight percent, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",106,WDX_PP
CCO3_pct_TT_HCl,"Carbonate carbon, in weight percent, by coulometric titration after HClO4 digestion",119,TT_HCl
Cd_ppm_AA_F_AZ_H2O2_P,"Cadmium, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with HCl-H2O2 and MIBK",9,AA_F_AZ_H2O2_P
Cd_ppm_AA_F_HF,"Cadmium, in parts per million, by flame-atomic absorption spectrophotometry after multi-acid digestion with HF",8,AA_F_HF
Cd_ppm_AA_F_HNO3_P,"Cadmium, in parts per million, by flame-atomic absorption spectrophotometry after partial digestion with hot HNO3",10,AA_F_HNO3_P
Cd_ppm_AES_AR_P,"Cadmium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with aqua regia",710,AES_AR_P
Cd_ppm_AES_AZ_P,"Cadmium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after partial digestion with H2O2-HCl leach and DIBK extract",810,AES_AZ_P
Cd_ppm_AES_Fuse,"Cadmium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",87,AES_Fuse
Cd_ppm_AES_HF,"Cadmium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",8795,AES_HF
Cd_ppm_ES_SQ,"Cadmium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",1321,ES_SQ
Cd_ppm_LAMS,"Cadmium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",46,LAMS
Cd_ppm_MS_AR_P,"Cadmium, in parts per million, by inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",119,MS_AR_P
Cd_ppm_MS_AR_UT_P,"Cadmium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after partial digestion with aqua regia",78,MS_AR_UT_P
Cd_ppm_MS_HF,"Cadmium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10576,MS_HF
Cd_ppm_MS_HF_UT,"Cadmium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Cd_ppm_MS_ST,"Cadmium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",391,MS_ST
Cd_ppm_NA_LC,"Cadmium, in parts per million, by long count instrumental neutron activation",58,NA_LC
Cd_ppm_WDX_PP,"Cadmium, in parts per million, by wavelength-dispersive X-ray fluorescence spectroscopy on pressed pellet samples",8,WDX_PP
Ce_ppm_AES_Fuse,"Cerium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",140,AES_Fuse
Ce_ppm_AES_HF,"Cerium, in parts per million, by inductively coupled plasma-atomic emission spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",2008,AES_HF
Ce_ppm_EDX,"Cerium, in parts per million, by energy-dispersive X-ray fluorescence spectroscopy",252,EDX
Ce_ppm_EPMA,"Cerium, in parts per million, by electron probe microanalysis",79,EPMA
Ce_ppm_ES_SQ,"Cerium, in parts per million, by semi-quantitative visual 6-step or direct reader direct-current arc emission spectrography",112,ES_SQ
Ce_ppm_LAMS,"Cerium, in parts per million, by inductively coupled plasma-mass spectroscopy after laser ablation decomposition",798,LAMS
Ce_ppm_MS_Fuse,"Cerium, in parts per million, by inductively coupled plasma-mass spectroscopy after LiBO2 or LiBO2-Li2B4O7 fusion",485,MS_Fuse
Ce_ppm_MS_HF,"Cerium, in parts per million, by inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",10161,MS_HF
Ce_ppm_MS_HF_UT,"Cerium, in parts per million, by ultratrace inductively coupled plasma-mass spectroscopy after HF-HCl-HNO3-HClO4 (4-acid) digestion",7145,MS_HF_UT
Ce_ppm_MS_ST,"Cerium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion",383,MS_ST
Ce_ppm_MS_ST_REE,"Cerium, in parts per million, by inductively coupled plasma-mass spectroscopy after Na2O2 sinter digestion, REE package",307,MS_ST_REE
Ce_ppm_NA_LC,"Cerium, in parts per million, by long count instrumental neutron activation",107,NA_LC
Ce_ppm_NA_SC,"Cerium, in parts per million, by short count instrumental neutron activation",8,NA_SC
Cl_pct_CM_ST,"Chlorine, in weight percent, by spectrophotometry after Na2CO3-ZnO sinter digestion",3,CM_ST
Cl_pct_EPMA,"Chlorine, in weight percent, by electron probe microanalysis",10,EPMA
Cl_pct_ISE_Fuse,"Chlorine, in weight percent, by ion specific electrode after KOH-NH4NO3 fusion",7,ISE_Fuse
